id;name;can_sit;top;jhi_left;seat_group_id
1;Intelligent Naira;false;Multi-lateral parsing;program;1
2;長崎県 optical Principal;false;広島県;群馬県 Frozen;2
3;interactive;false;ADP Spurs;Fresh 北海道;3
4;facilitate;false;driver navigating;Specialist value-added;4
5;ability;true;Investment drive USB;Borders;5
6;Gorgeous;true;bleeding-edge Bike;Gloves Rubber plug-and-play;6
7;Advanced;true;福岡県 トルコ;Applications Assurance vertical;7
8;1080p Rand Gloves;false;withdrawal Expanded;Money Account;8
9;tangible microchip;false;山梨県 functionalities;Supervisor composite;9
10;Dynamic;false;mindshare capacitor;teal;10
